,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Stopa zwrotu,Stopa otwarcie-zamkniecie,Stopa zamkniecie-otwarcie
194,2022-10-10,22.01,22.09,21.4,21.47,2965283.0,-0.03343567698754413,-0.02484028364768065,0.02937338297866532
195,2022-10-11,21.4,22.15,21.22,21.7,2726961.0,0.010655648655724104,0.013921338518608106,0.014184634991956546
196,2022-10-12,21.88,22.23,21.44,22.1,4040214.0,0.018265347977293178,0.010004630969926431,-0.032186686495901284
197,2022-10-13,22.06,22.15,21.35,21.88,4207163.0,-0.010004630969926431,-0.00819303627157586,0.0
198,2022-10-14,22.48,22.82,22.24,22.54,2772457.0,0.029718531057849606,0.0026654835861399384,-0.021525494786273747
199,2022-10-17,22.52,22.95,22.27,22.93,1728996.0,0.017154588258182724,0.018042293598323322,-0.019820071844322662
200,2022-10-18,23.18,23.92,23.15,23.73,3808167.0,0.03429397357785913,0.023450232536066373,-0.05233626717618245
201,2022-10-19,23.8,23.94,23.18,23.21,3044626.0,-0.022156850161326513,-0.0251023603910836,-0.0012933823747398598
202,2022-10-20,23.2,24.24,22.9,24.1,4129377.0,0.03762862021026381,0.03805956182434489,-0.012526259819180208
203,2022-10-21,24.05,24.61,23.8,24.25,2951489.0,0.006204776886882701,0.008281620831721792,-0.04426433871122759
204,2022-10-24,24.61,24.92,24.13,24.52,2886597.0,0.01107249368451857,-0.0036637533349539453,-0.01935411451624036
205,2022-10-25,24.5,24.83,24.03,24.49,2158244.0,-0.0012242401039341821,-0.0004082465866050988,0.004887993438888127
206,2022-10-26,24.49,24.98,24.3,24.86,2443238.0,0.01499521511848867,0.01499521511848867,-0.01458696853188357
207,2022-10-27,24.85,25.48,24.63,25.31,2368643.0,0.01793948847446769,0.01834182201439516,-0.03293470359295636
208,2022-10-28,25.1,25.86,24.91,25.72,3210608.0,0.016069324812385766,0.02440105323168007,-0.034411146826780925
209,2022-10-31,25.89,26.08,25.64,26.07,3553889.0,0.013516328575991832,0.006928434181963983,-0.0379173818076719
210,2022-11-02,26.21,26.49,25.75,26.41,4358940.0,0.01295749836363047,0.007601708973725696,-0.019885932545594454
211,2022-11-03,25.8,26.05,25.5,25.9,2819039.0,-0.01949975760354894,0.0038684767779200158,0.011898048629823244
212,2022-11-04,26.0,26.19,25.43,25.65,3604931.0,-0.009699397088713368,-0.013552966404703604,0.005830920310793353
213,2022-11-07,25.65,26.89,25.63,26.63,3400654.0,0.03749482820906236,0.03749482820906236,-0.023941861804358755
