Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-12-11,8.09,8.32,8.09,8.2,498284
2023-12-12,8.28,8.28,8.075,8.125,512955
2023-12-13,8.2,8.2,8.075,8.1,644775
2023-12-14,8.2,8.28,8.09,8.1,1013114
2023-12-15,8.1,8.22,7.89,8.03,2528661
2023-12-18,7.93,8.37,7.93,8.35,815348
2023-12-19,8.3,8.51,8.19,8.46,707334
2023-12-20,8.35,8.74,8.35,8.545,913548
2023-12-21,8.48,8.5,8.305,8.34,639246
2023-12-22,8.34,8.4,8.265,8.34,374020
2023-12-27,8.37,8.54,8.315,8.35,526537
2023-12-28,8.35,8.47,8.31,8.35,193178
2023-12-29,8.4,8.435,8.215,8.355,397638
